iter	Passed	Remaining
428	69248	92169
429	69393	91987
430	69587	91868
431	69731	91683
432	69881	91507
433	70031	91331
434	70178	91151
435	70323	90969
436	70457	90772
437	70601	90589
438	70763	90429
439	70915	90256
440	71062	90077
441	71210	89898
442	71346	89707
443	71540	89587
444	71715	89443
445	71879	89284
446	72026	89107
447	72166	88919
448	72304	88729
449	72441	88539
450	72608	88385
451	72749	88200
452	72899	88026
453	73064	87870
454	73239	87726
455	73419	87587
456	73565	87409
457	73718	87239
458	73917	87123
459	74086	86971
460	74231	86790
461	74409	86650
462	74564	86482
463	74719	86313
464	74873	86144
465	75006	85951
466	75131	85750
467	75273	85567
468	75406	85375
469	75540	85184
470	75693	85014
471	75823	84819
472	75965	84638
473	76129	84481
474	76317	84351
475	76467	84178
476	76607	83995
477	76743	83807
478	76909	83653
479	77041	83461
480	77188	83286
481	77327	83102
482	77464	82917
483	77596	82726
484	77732	82540
485	77863	82349
486	77995	82159
487	78131	81973
488	78265	81786
489	78442	81643
490	78600	81481
491	78742	81302
492	78886	81126
493	79039	80959
494	79197	80797
495	79340	80620
496	79495	80455
497	79624	80264
498	79759	80079
499	79903	79903
500	80049	79730
501	80194	79555
502	80337	79378
503	80478	79201
504	80619	79023
505	80770	78855
506	80912	78678
507	81116	78561
508	81256	78382
509	81403	78211
510	81555	78044
511	81707	77877
512	81914	77762
513	82110	77637
514	82252	77460
515	82397	77287
516	82581	77150
517	82716	76968
518	82872	76804
519	83047	76659
520	83213	76505
521	83402	76372
522	83595	76242
523	83765	76092
524	83925	75932
525	84079	75767
526	84274	75639
527	84482	75521
528	84682	75398
529	84891	75280
530	85085	75151
531	85300	75038
532	85454	74872
533	85635	74730
534	85832	74602
535	86014	74460
536	86168	74294
537	86345	74147
538	86517	73997
539	86682	73840
540	86850	73686
541	87021	73534
542	87175	73368
543	87328	73201
544	87487	73040
545	87635	72869
546	87792	72705
547	87962	72552
548	88121	72391
549	88282	72230
550	88448	72075
551	88597	71905
552	89199	72101
553	89819	72309
554	90241	72355
555	90632	72375
556	90841	72249
557	90975	72063
558	91108	71876
559	91235	71684
560	91361	71493
561	91492	71305
562	91620	71115
563	91758	70934
564	91890	70747
565	92025	70563
566	92145	70368
567	92277	70183
568	92430	70013
569	92611	69864
570	92784	69710
571	92930	69535
572	93076	69360
573	93225	69188
574	93355	69002
575	93490	68819
576	93623	68635
577	93757	68452
578	93891	68270
579	94040	68098
580	94170	67912
581	94300	67727
582	94425	67539
583	94553	67353
584	94690	67173
585	94826	66993
586	95006	66844
587	95137	66661
588	95262	66473
589	95393	66290
590	95527	66109
591	95661	65928
592	95790	65745
593	95924	65564
594	96056	65382
595	96189	65202
596	96320	65020
597	96457	64842
598	96583	64657
599	96705	64470
600	96832	64286
601	96963	64105
602	97137	63953
603	97303	63795
604	97532	63678
605	97828	63604
606	97956	63421
607	98092	63243
608	98217	63059
609	98345	62876
610	98474	62695
611	98612	62518
612	98738	62335
613	98871	62157
614	98999	61975
615	99128	61794
616	99269	61621
617	99431	61460
618	99586	61296
619	99726	61122
620	99851	60939
621	99981	60760
622	100107	60578
623	100231	60395
624	100355	60213
625	100490	60037
626	100616	59856
627	100758	59684
628	100883	59503
629	101012	59324
630	101138	59144
631	101263	58963
632	101389	58783
633	101545	58620
634	101683	58448
635	101858	58296
636	102014	58133
637	102137	57952
638	102265	57774
639	102394	57596
640	102523	57419
641	102653	57243
642	102783	57066
643	102909	56887
644	103039	56711
645	103166	56534
646	103293	56356
647	103420	56178
648	103560	56008
649	103689	55832
650	103829	55662
651	103975	55496
652	104144	55341
653	104277	55168
654	104404	54991
655	104533	54816
656	104662	54641
657	104792	54466
658	104942	54302
659	105088	54136
660	105225	53965
661	105346	53786
662	105488	53619
663	105613	53442
664	105749	53272
665	105873	53095
666	106000	52920
667	106124	52744
668	106280	52584
669	106484	52447
670	106800	52365
671	106931	52192
672	107053	52015
673	107177	51839
674	107310	51667
675	107443	51496
676	107571	51322
677	107700	51149
678	107826	50975
679	107954	50802
680	108077	50626
681	108203	50452
682	108352	50289
683	108484	50118
684	108658	49967
685	108924	49857
686	109069	49692
687	109196	49519
688	109326	49347
689	109614	49247
690	109886	49138
691	110018	48967
692	110147	48795
693	110268	48619
694	110397	48447
695	110517	48272
696	110644	48099
697	110765	47924
698	110889	47750
699	111064	47599
700	111200	47430
701	111338	47263
702	111466	47091
703	111594	46920
704	111724	46749
705	111852	46578
706	111981	46407
707	112108	46236
708	112233	46064
709	112364	45895
710	112495	45726
711	112618	45553
712	112751	45385
713	112881	45215
714	113014	45047
715	113147	44879
716	113269	44707
717	113449	44557
718	113582	44390
719	113716	44223
720	113847	44054
721	113979	43886
722	114107	43717
723	114229	43545
724	114366	43380
725	114498	43212
726	114628	43044
727	114752	42874
728	114898	42712
729	115034	42546
730	115163	42379
731	115297	42212
732	115444	42051
733	115610	41897
734	115779	41743
735	115913	41577
736	116041	41409
737	116169	41241
738	116308	41077
739	116434	40909
740	116562	40741
741	116685	40572
742	116810	40404
743	116940	40237
744	117058	40067
745	117183	39898
746	117323	39735
747	117450	39568
748	117571	39399
749	117700	39233
750	117831	39067
751	118016	38920
752	118145	38754
753	118272	38587
754	118410	38424
755	118545	38260
756	118674	38094
757	118811	37931
758	118941	37766
759	119068	37600
760	119199	37435
761	119326	37269
762	119460	37106
763	119589	36941
764	119715	36775
765	119848	36611
766	119975	36446
767	120102	36280
768	120289	36133
769	120421	35970
770	120552	35806
771	120679	35641
772	120804	35475
773	120937	35312
774	121068	35148
775	121192	34983
776	121321	34819
777	121446	34654
778	121575	34490
779	121705	34327
780	121853	34168
781	121983	34005
782	122107	33840
783	122236	33677
784	122362	33513
785	122539	33363
786	122672	33201
787	122800	33037
788	122928	32874
789	123051	32709
790	123178	32546
791	123309	32384
792	123443	32222
793	123567	32059
794	123695	31896
795	123819	31732
796	123953	31571
797	124083	31409
798	124215	31248
799	124338	31084
800	124468	30922
801	124598	30761
802	124800	30617
803	124936	30457
804	125065	30295
805	125194	30133
806	125328	29973
807	125462	29812
808	125581	29648
809	125707	29486
810	125842	29327
811	125964	29164
812	126096	29003
813	126218	28841
814	126358	28682
815	126492	28522
816	126617	28360
817	126746	28200
818	126883	28041
819	127044	27887
820	127194	27731
821	127329	27572
822	127452	27410
823	127582	27250
824	127709	27089
825	127844	26930
826	127972	26770
827	128107	26611
828	128233	26451
829	128359	26290
830	128498	26132
831	128629	25973
832	128757	25813
833	128890	25654
834	129017	25494
835	129145	25334
836	129293	25179
837	129465	25027
838	129598	24869
839	129729	24710
840	129854	24550
841	129982	24391
842	130113	24232
843	130240	24072
844	130362	23912
845	130493	23754
846	130624	23595
847	130761	23438
848	130891	23279
849	131021	23121
850	131149	22962
851	131275	22803
852	131418	22647
853	131554	22490
854	131725	22339
855	131861	22182
856	131986	22023
857	132113	21865
858	132243	21707
859	132374	21549
860	132505	21391
861	132629	21233
862	132757	21075
863	132891	20918
864	133020	20760
865	133147	20602
866	133275	20444
867	133400	20286
868	133530	20129
869	133654	19971
870	133790	19815
871	133973	19665
872	134106	19509
873	134235	19352
874	134363	19194
875	134491	19037
876	134617	18880
877	134745	18723
878	134872	18566
879	135001	18409
880	135133	18252
881	135268	18097
882	135392	17939
883	135517	17782
884	135644	17626
885	135771	17469
886	135906	17313
887	136032	17157
888	136204	17006
889	136344	16851
890	136473	16695
891	136599	16538
892	136741	16384
893	136875	16229
894	137016	16074
895	137154	15919
896	137295	15765
897	137430	15610
898	137570	15455
899	137708	15300
900	137850	15146
901	137999	14993
902	138137	14838
903	138270	14683
904	138416	14529
905	138577	14377
906	138700	14221
907	138828	14066
908	138959	13911
909	139095	13756
910	139224	13601
911	139350	13446
912	139480	13291
913	139604	13135
914	139736	12980
915	139866	12826
916	139997	12671
917	140126	12516
918	140251	12361
919	140383	12207
920	140508	12052
921	140632	11897
922	140809	11746
923	140941	11592
924	141071	11438
925	141206	11284
926	141342	11130
927	141471	10976
928	141591	10821
929	141719	10667
930	141849	10513
931	141970	10358
932	142095	10204
933	142221	10049
934	142351	9896
935	142480	9742
936	142605	9588
937	142739	9434
938	142858	9280
939	143030	9129
940	143163	8976
941	143294	8822
942	143428	8669
943	143560	8516
944	143700	8363
945	143825	8209
946	143959	8056
947	144087	7903
948	144209	7749
949	144358	7597
950	144486	7444
951	144610	7291
952	144736	7138
953	144874	6985
954	144999	6832
955	145124	6679
956	145290	6528
957	145428	6375
958	145558	6223
959	145683	6070
960	145818	5917
961	145952	5765
962	146077	5612
963	146201	5459
964	146328	5307
965	146457	5154
966	146584	5002
967	146743	4851
968	147034	4703
969	147156	4551
970	147288	4398
971	147410	4246
972	147584	4095
973	147715	3943
974	147837	3790
975	147965	3638
976	148088	3486
977	148215	3334
978	148341	3181
979	148470	3030
980	148597	2878
981	148722	2726
982	148863	2574
983	148993	2422
984	149119	2270
985	149253	2119
986	149381	1967
987	149505	1815
988	149631	1664
989	149797	1513
990	149942	1361
991	150065	1210
992	150195	1058
993	150330	907
994	150457	756
995	150584	604
996	150710	453
997	150838	302
998	150962	151
999	151086	0
