iter	Logloss
206	0.1301845873
207	0.1300134681
208	0.1299334142
209	0.1297468994
210	0.1294781272
211	0.1292433189
212	0.1290579012
213	0.1289169296
214	0.1287676472
215	0.1285462494
216	0.1282885891
217	0.1280940538
218	0.1278990397
219	0.1276301837
220	0.1274572438
221	0.1272339514
222	0.1269961767
223	0.1267189301
224	0.1264168232
225	0.126243309
226	0.125995207
227	0.12578218
228	0.1256541498
229	0.1254564252
230	0.1251861529
231	0.125032049
232	0.1247532235
233	0.1246142934
234	0.1244553754
235	0.124217368
236	0.1240537532
237	0.1237791701
238	0.1235593918
239	0.1233429104
240	0.1230860048
241	0.1228834011
242	0.1227260859
243	0.1224531085
244	0.1223023383
245	0.1220495398
246	0.1217639643
247	0.1215939061
248	0.1213963552
249	0.1211430974
250	0.1209348314
251	0.1208056728
252	0.1206310692
253	0.1204878728
254	0.1203580699
255	0.1200755253
256	0.1199352015
257	0.1197858297
258	0.1196877426
259	0.1194582457
260	0.1192457665
261	0.1190440502
262	0.1188973635
263	0.1186884825
264	0.1185545526
265	0.1183421144
266	0.1181045718
267	0.1179109326
268	0.1178459323
269	0.117660405
270	0.1174794301
271	0.117356076
272	0.1171788685
273	0.1170485801
274	0.116887924
275	0.116724431
276	0.1165633296
277	0.1163702411
278	0.1161543284
279	0.1159864533
280	0.1158558667
281	0.1156805294
282	0.1154453082
283	0.1152799131
284	0.1151590702
285	0.1149964417
286	0.1147504211
287	0.1146087408
288	0.1145203379
289	0.1143109789
290	0.1141419928
291	0.1139192898
292	0.1137865228
293	0.1136011209
294	0.1134989804
295	0.1132887441
296	0.1131269807
297	0.112959664
298	0.1128822381
299	0.112634595
300	0.1124370362
301	0.1123338162
302	0.1121906833
303	0.1119576135
304	0.1118281964
305	0.1116307822
306	0.1114460533
307	0.111277395
308	0.1110767738
309	0.1109300143
310	0.1107928073
311	0.1106803685
312	0.1106199274
313	0.1104444928
314	0.1103005598
315	0.1101795506
316	0.1100831106
317	0.1099450616
318	0.1098293544
319	0.1096402961
320	0.1095285826
321	0.1092931233
322	0.1091801753
323	0.1090118713
324	0.1088650384
325	0.1086894825
326	0.1085177696
327	0.1084468459
328	0.1082257543
329	0.1080443283
330	0.1079221762
331	0.1077502203
332	0.1075832653
333	0.1074141825
334	0.1073349836
335	0.1072102937
336	0.1070406129
337	0.1069547123
338	0.1068461994
339	0.1067512875
340	0.1065458786
341	0.1063431074
342	0.1062760992
343	0.1062053802
344	0.1061766957
345	0.1060569995
346	0.1058511316
347	0.1057040766
348	0.1056161917
349	0.1054757464
350	0.1053367635
351	0.1052262528
352	0.1050975756
353	0.1050254491
354	0.1048605984
355	0.1047388283
356	0.10465162
357	0.1045206468
358	0.104391846
359	0.1043581452
360	0.1042388405
361	0.1041098857
362	0.1040136615
363	0.1039830512
364	0.1038320381
365	0.1037636753
366	0.1036732358
367	0.1035480805
368	0.103459323
369	0.1034314933
370	0.103361387
371	0.1032016838
372	0.103129977
373	0.1030213987
374	0.1028953776
375	0.1028093618
376	0.1027045919
377	0.1025709822
378	0.1024569569
379	0.1022764486
380	0.102167457
381	0.1020200783
382	0.1018883419
383	0.1017624379
384	0.1016348445
385	0.1015299749
386	0.1014159643
387	0.1012649571
388	0.1010975016
389	0.1009632912
390	0.1008296065
391	0.1007830327
392	0.1006170319
393	0.1004648196
394	0.1004408543
395	0.1003576046
396	0.1001864031
397	0.1000217535
398	0.09996138853
399	0.09991322957
400	0.09984338027
401	0.09977971209
402	0.09973235874
403	0.09966203038
404	0.099576715
405	0.09949535881
406	0.09933875443
407	0.09923632784
408	0.09914059936
409	0.09901405458
410	0.09899356506
411	0.09886965039
412	0.09876439425
413	0.09860995264
414	0.0985237321
415	0.09844144325
416	0.09830322345
417	0.09820462302
418	0.09808461493
419	0.09800848235
420	0.09789733694
421	0.09776059987
422	0.09766871231
423	0.09756538224
424	0.09749038802
425	0.09738861591
426	0.0972901919
427	0.09719774029
428	0.09710966989
429	0.09700372142
430	0.09684472125
431	0.09679263583
432	0.09671616118
433	0.09662984957
434	0.09652970407
435	0.09642347782
436	0.09634344957
437	0.09622379157
438	0.09613211258
439	0.09603171434
440	0.09591458149
441	0.0958078481
442	0.09565882554
443	0.095591315
444	0.09553119674
445	0.09544448377
446	0.0954262197
447	0.09535999371
448	0.09524051384
449	0.09520429398
450	0.09517059487
451	0.09509573113
452	0.09499406937
453	0.09487809505
454	0.09473684671
455	0.09465015278
456	0.09459170533
457	0.09442494878
458	0.09423874551
459	0.0940734005
460	0.09398128825
461	0.09385257313
462	0.09378721026
463	0.09368657531
464	0.09360834815
465	0.09349394047
466	0.09344224763
467	0.09333440814
468	0.09321803905
469	0.09309521925
470	0.09300111738
471	0.09294416364
472	0.09278951766
473	0.0927046086
474	0.09263450568
475	0.09258856748
476	0.09248955622
477	0.09240165228
478	0.09228344343
479	0.09221105264
480	0.09210946307
481	0.09198656293
482	0.0919139656
483	0.09186482185
484	0.09176872111
485	0.09168503923
486	0.09157815724
487	0.09151050682
488	0.09146221983
489	0.09135447778
490	0.09129684432
491	0.09122406612
492	0.09115890367
493	0.09109342245
494	0.09099234381
495	0.09090251868
496	0.09075264721
497	0.09071177724
498	0.09062742608
499	0.09051373659
500	0.09038670207
501	0.09032259302
502	0.09023954261
503	0.09018486447
504	0.09007280403
505	0.09000388696
506	0.08991856324
507	0.08981539443
508	0.08974182863
509	0.08963107953
510	0.08956984295
511	0.08943348272
512	0.08929898854
513	0.08913236244
514	0.08896697448
515	0.08885957208
516	0.08878492561
517	0.08872265736
518	0.08868571009
519	0.08858114199
520	0.08849925987
521	0.08845298499
522	0.08836047122
523	0.08829493486
524	0.08821235305
525	0.08809411325
526	0.08795569516
527	0.08786184788
528	0.08780526232
529	0.0876603359
530	0.08760181236
531	0.08754299373
532	0.0874971074
533	0.08737456218
534	0.0873021902
535	0.08724741464
536	0.08719490516
537	0.08709491733
538	0.08695584198
539	0.08681373302
540	0.08672572711
541	0.08665341861
542	0.08662116833
543	0.08656789588
544	0.08644957752
545	0.08640777618
546	0.08635546855
547	0.08625646876
548	0.0861663275
549	0.08613249423
550	0.08605557884
551	0.08600629453
552	0.0859749922
553	0.08585053244
554	0.08576438495
555	0.0857073649
556	0.0856279578
557	0.08558134405
558	0.08550145729
559	0.08538251277
560	0.08529686298
561	0.0852341724
562	0.08518686603
563	0.08508121853
564	0.08501294535
565	0.08488214858
566	0.08485048777
567	0.08472845128
568	0.08466859613
569	0.08464027567
570	0.08454351217
571	0.08448012653
572	0.08442601488
573	0.08433646469
574	0.08432316849
575	0.08420622479
576	0.08413951188
577	0.08400483368
578	0.08393466222
579	0.08381366309
580	0.08371594939
581	0.08360003161
582	0.08352236322
583	0.08347622468
584	0.08336128152
585	0.08326624504
586	0.08315746963
587	0.08313556943
588	0.08307990089
589	0.08302485221
590	0.08296780217
591	0.08289899001
592	0.08284465614
593	0.08273875142
594	0.08270303248
595	0.08264644481
596	0.08257233082
597	0.08245190692
598	0.08237092641
599	0.0823310367
600	0.08226632378
601	0.08217837905
602	0.08210462149
603	0.08202993856
604	0.08198333302
605	0.08188452646
606	0.0818042895
607	0.08171390778
608	0.08164684926
609	0.08155253443
610	0.08149624567
611	0.08139983782
612	0.0812945684
613	0.08120592177
614	0.0811059663
615	0.08104939427
616	0.0809833553
617	0.08089300731
618	0.08082221658
619	0.08077649744
620	0.080736578
621	0.08069883511
622	0.08063898353
623	0.08061426099
624	0.08052591477
625	0.08041219069
626	0.08035539489
627	0.08028959303
628	0.08018930808
629	0.08013119596
630	0.0800529686
631	0.07999834719
632	0.07993684992
633	0.07984887363
634	0.07975471422
635	0.07970814149
636	0.07966729366
637	0.0796335322
638	0.07958243624
639	0.07949841376
640	0.07946933355
641	0.07937999586
642	0.07930642792
643	0.07923273483
644	0.07918114527
645	0.07912314411
646	0.07904054795
647	0.07895216356
648	0.07888858234
649	0.07884582886
650	0.07873382118
651	0.07870387109
652	0.07862278152
653	0.07855278557
654	0.0784313765
655	0.07835110975
656	0.07832613783
657	0.0782886134
658	0.07823708489
659	0.07818279888
660	0.07810674943
661	0.07803207044
662	0.07794561175
663	0.07789954672
664	0.07784241707
665	0.07781236965
666	0.07776860641
667	0.07770691356
668	0.07762083879
669	0.07755290693
670	0.07748226925
671	0.07742979702
672	0.07738269051
673	0.07733703795
674	0.07729082578
675	0.07723227863
676	0.07716513263
677	0.07712636918
678	0.07707490925
679	0.07701057248
680	0.07699300111
681	0.07697302175
682	0.07689609302
683	0.07683503995
684	0.07678453311
685	0.07675582932
686	0.07668414843
687	0.07664667169
688	0.07652987463
689	0.07648076885
690	0.07641595291
691	0.07636019947
692	0.07630515511
693	0.07626434199
694	0.07624551837
695	0.07619038287
696	0.07611725005
697	0.0760394618
698	0.07599811273
699	0.07595793981
700	0.07590762783
701	0.0758487761
702	0.07582683572
703	0.07575699736
704	0.0757122224
705	0.07564808311
706	0.07560166092
707	0.07555877187
708	0.0754484419
709	0.07542443385
710	0.07537696417
711	0.07528353555
712	0.07526417076
713	0.07515774263
714	0.07505266217
715	0.07499189889
716	0.0749458004
717	0.07491347875
718	0.07488850587
719	0.07482595172
720	0.07477996753
721	0.07473251531
722	0.07469299061
723	0.07463764929
724	0.07460373237
725	0.07455072315
726	0.07449812695
727	0.07442024668
728	0.0743793857
729	0.07431290896
730	0.07428026847
731	0.0742195541
732	0.0741473502
733	0.07409979381
734	0.07408388611
735	0.07401726186
736	0.07400117962
737	0.07398544799
738	0.07392398655
739	0.07384389781
740	0.0737904127
741	0.07375780513
742	0.07368999119
743	0.07359332774
744	0.07357910982
745	0.07357180711
746	0.07350018188
747	0.07344689896
748	0.07337941634
749	0.07331010586
750	0.0732301067
751	0.07322023642
752	0.07315793382
753	0.07309578677
754	0.07303183851
755	0.07296447947
756	0.07291548437
757	0.07285073281
758	0.07277936055
759	0.07269952254
760	0.07263776859
761	0.07257273346
762	0.07255755958
763	0.07252519576
764	0.07249979135
765	0.07245692019
766	0.07242528914
767	0.07238560128
768	0.07233936788
769	0.07231204225
770	0.07226422363
771	0.07221402391
772	0.07213560839
773	0.07206353828
774	0.07203404119
775	0.07199836405
776	0.07197159568
777	0.0719187297
778	0.07183894457
779	0.07174547997
780	0.07166164602
781	0.07157654845
782	0.07155284035
783	0.0714790852
784	0.07144347245
785	0.07143386099
786	0.07136703064
787	0.07131534167
788	0.07129196431
789	0.07122366775
790	0.07115768271
791	0.0711410572
792	0.07109012591
793	0.07105424866
794	0.07099789822
795	0.07098883585
796	0.07098050922
797	0.07088672576
798	0.07084338672
799	0.07078338931
800	0.07074481628
801	0.07070354716
802	0.07064881635
803	0.07059960028
804	0.07058461876
805	0.07052329494
806	0.07047536015
807	0.07042381262
808	0.07041006202
809	0.07034315093
810	0.0702995034
811	0.07025818669
812	0.07022567711
813	0.07018163287
814	0.07013599752
815	0.07006790757
816	0.07000115199
817	0.06992817577
818	0.06983999832
819	0.06977110771
820	0.06969976029
821	0.06960824554
822	0.06957680151
823	0.06953528436
824	0.06948653934
825	0.06943653972
826	0.06941152479
827	0.06936019961
828	0.06930544721
829	0.06925993652
830	0.06923669494
831	0.06918500036
832	0.06911590251
833	0.06905036223
834	0.06900803545
835	0.06893644082
836	0.06889377492
837	0.06885402042
838	0.06876680538
839	0.06870943322
840	0.06863910132
841	0.06854794554
842	0.06852332472
843	0.06845941624
844	0.06841266905
845	0.06833516842
846	0.06830505775
847	0.06825670132
848	0.06820938823
849	0.0681873321
850	0.06811869435
851	0.06808660981
852	0.06803363232
853	0.06798735726
854	0.06797550455
855	0.06790743797
856	0.06788994568
857	0.06783220063
858	0.0677738133
859	0.06772490196
860	0.06767613874
861	0.06758685724
862	0.06754755981
863	0.06748028679
864	0.06744578838
865	0.06741402726
866	0.06733666935
867	0.06729614256
868	0.06724644282
869	0.06720182206
870	0.06713051707
871	0.06705960166
872	0.0670163554
873	0.06695205685
874	0.06690074037
875	0.06685423396
876	0.06681615922
877	0.0667567793
878	0.06668423447
879	0.06664042778
880	0.0666078824
881	0.06655224717
882	0.06652910686
883	0.06648002943
884	0.06644089407
885	0.06635997747
886	0.06630708837
887	0.06626609255
888	0.06622927841
889	0.06616018945
890	0.06608675611
891	0.06600715791
892	0.06598211734
893	0.06595540116
894	0.06591407312
895	0.06587375526
896	0.06582065327
897	0.06577570561
898	0.06570476326
899	0.06567896274
900	0.06563152795
901	0.06556977389
902	0.06550770562
903	0.06548126453
904	0.06543020382
905	0.06538126676
906	0.0653516658
907	0.06532059093
908	0.06528671011
909	0.06522722354
910	0.06516157356
911	0.06509661017
912	0.06506841303
913	0.06503319997
914	0.06497568865
915	0.06493134629
916	0.06479108201
917	0.06474019049
918	0.06470593265
919	0.06466404199
920	0.0646065267
921	0.06459171092
922	0.06454747662
923	0.06448233173
924	0.06444104111
925	0.064406478
926	0.06435590312
927	0.0643221184
928	0.06427738535
929	0.06423213399
930	0.06420447454
931	0.0641881168
932	0.06416800179
933	0.06413137464
934	0.06407226131
935	0.0640349404
936	0.06399331677
937	0.06393002295
938	0.06391227389
939	0.06386775774
940	0.06381876869
941	0.06375861403
942	0.06370322492
943	0.06365242617
944	0.0636016706
945	0.06359214998
946	0.06351919502
947	0.06347899434
948	0.06342204153
949	0.06336786985
950	0.06330699938
951	0.06325538996
952	0.06320655459
953	0.06318736199
954	0.06314355625
955	0.06310910595
956	0.06307877651
957	0.06305915102
958	0.06302998295
959	0.06301015452
960	0.06297609061
961	0.06293571549
962	0.06289673657
963	0.06281349586
964	0.06279407101
965	0.06273939963
966	0.0626769049
967	0.0626283893
968	0.06260106259
969	0.06258781733
970	0.06255062321
971	0.06252497819
972	0.06246226902
973	0.06243536487
974	0.06238845447
975	0.0623512897
976	0.06230764558
977	0.06225336229
978	0.06220195379
979	0.06217427208
980	0.06212583235
981	0.06208557562
982	0.06202566214
983	0.0619732314
984	0.06191044593
985	0.06185540119
986	0.06180630987
987	0.06177031456
988	0.06170233889
989	0.06165150811
990	0.06162932089
991	0.06160791893
992	0.06157836601
993	0.06153091128
994	0.06149503307
995	0.06146344392
996	0.06139858948
997	0.06135597828
998	0.06134048144
999	0.06129193919
